NC_000932.1	NC_000932.1	100.000	154478	0	0	1	154478	1	154478	0.0	2.853e+05
NC_000932.1	NC_000932.1	100.000	26264	0	0	128215	154478	110434	84171	0.0	48501
NC_000932.1	NC_000932.1	100.000	26264	0	0	84171	110434	154478	128215	0.0	48501
NC_000932.1	NC_000932.1	86.179	123	17	0	40879	41001	38655	38777	1.04e-30	134
NC_000932.1	NC_000932.1	86.179	123	17	0	38655	38777	40879	41001	1.04e-30	134
NC_000932.1	NC_000932.1	100.000	44	0	0	74205	74248	74248	74205	3.81e-15	82.4
NC_000932.1	NC_000932.1	100.000	40	0	0	28567	28606	28606	28567	6.37e-13	75.0
NC_000932.1	NC_000932.1	100.000	33	0	0	47861	47893	47829	47861	4.96e-09	62.1
NC_000932.1	NC_000932.1	100.000	33	0	0	47829	47861	47861	47893	4.96e-09	62.1
NC_000932.1	NC_000932.1	100.000	28	0	0	44885	44912	7813	7786	2.99e-06	52.8
NC_000932.1	NC_000932.1	100.000	28	0	0	7786	7813	44912	44885	2.99e-06	52.8
